"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Water transport services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,183,878","e"
"2000","Water transport services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","69,770","e"
"2000","Water transport services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","4,210","e"
"2000","Water transport services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","64,150,110","e"
"2000","Air transport services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","78,754","e"
"2000","Air transport services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","293,879","e"
"2000","Air transport services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","98,195","e"
"2000","Air transport services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,197","e"
"2000","Air transport services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","95,904,790","e"
"2000","Supporting and auxiliary transport services; travel agency services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","79,438","e"
"2000","Supporting and auxiliary transport services; travel agency services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","183,789","e"
"2000","Supporting and auxiliary transport services; travel agency services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","93,359","e"
"2000","Supporting and auxiliary transport services; travel agency services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,542","e"
"2000","Supporting and auxiliary transport services; travel agency services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","30,450,320","e"
"2000","Post and telecommunication services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","71,964","e"
"2000","Post and telecommunication services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","105,011","e"
"2000","Post and telecommunication services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","85,602","e"
"2000","Post and telecommunication services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","2,934","e"
"2000","Post and telecommunication services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","25,591,770","e"
"2000","Financial intermediation services, except insurance and pension funding services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","48,101","e"
"2000","Financial intermediation services, except insurance and pension funding services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","55,815","e"
